   103    0.16447E+00    0.48261E-04   -0.15128E-02
   104    0.16641E+00    0.49101E-04   -0.15523E-02
   105    0.16836E+00    0.49928E-04   -0.15916E-02
   106    0.17032E+00    0.50743E-04   -0.16309E-02
   107    0.17229E+00    0.51544E-04   -0.16700E-02
   108    0.17427E+00    0.52330E-04   -0.17089E-02
   109    0.17626E+00    0.53100E-04   -0.17476E-02
   110    0.17826E+00    0.53853E-04   -0.17861E-02
   111    0.18027E+00    0.54589E-04   -0.18243E-02
   112    0.18229E+00    0.55307E-04   -0.18622E-02
   113    0.18432E+00    0.56006E-04   -0.18997E-02
   114    0.18635E+00    0.56686E-04   -0.19369E-02
   115    0.18840E+00    0.57346E-04   -0.19737E-02
   116    0.19045E+00    0.57985E-04   -0.20100E-02
   117    0.19251E+00    0.58603E-04   -0.20459E-02
   118    0.19457E+00    0.59200E-04   -0.20812E-02
   119    0.19664E+00    0.59774E-04   -0.21160E-02
   120    0.19871E+00    0.60325E-04   -0.21503E-02
   121    0.20078E+00    0.60853E-04   -0.21839E-02
   122    0.20286E+00    0.61356E-04   -0.22168E-02
   123    0.20495E+00    0.61835E-04   -0.22491E-02
   124    0.20703E+00    0.62289E-04   -0.22807E-02
   125    0.20912E+00    0.62716E-04   -0.23115E-02
   126    0.21121E+00    0.63117E-04   -0.23416E-02
   127    0.21330E+00    0.63491E-04   -0.23708E-02
   128    0.21538E+00    0.63837E-04   -0.23992E-02
   129    0.21747E+00    0.64154E-04   -0.24267E-02
   130    0.21956E+00    0.64443E-04   -0.24533E-02
   131    0.22164E+00    0.64702E-04   -0.24789E-02
   132    0.22373E+00    0.64931E-04   -0.25035E-02
   133    0.22581E+00    0.65131E-04   -0.25272E-02
   134    0.22789E+00    0.65302E-04   -0.25498E-02
   135    0.22996E+00    0.65443E-04   -0.25713E-02
   136    0.23203E+00    0.65555E-04   -0.25918E-02
   137    0.23410E+00    0.65638E-04   -0.26111E-02
   138    0.23616E+00    0.65692E-04   -0.26294E-02
   139    0.23821E+00    0.65716E-04   -0.26464E-02
   140    0.24026E+00    0.65712E-04   -0.26623E-02
   141    0.24230E+00    0.65678E-04   -0.26770E-02
   142    0.24434E+00    0.65616E-04   -0.26904E-02
   143    0.24637E+00    0.65524E-04   -0.27026E-02
   144    0.24839E+00    0.65404E-04   -0.27134E-02
   145    0.25041E+00    0.65255E-04   -0.27230E-02
   146    0.25241E+00    0.65078E-04   -0.27312E-02
   147    0.25441E+00    0.64871E-04   -0.27381E-02
   148    0.25639E+00    0.64636E-04   -0.27435E-02
   149    0.25837E+00    0.64373E-04   -0.27476E-02
   150    0.26033E+00    0.64081E-04   -0.27502E-02
   151    0.26229E+00    0.63761E-04   -0.27513E-02
   152    0.26423E+00    0.63413E-04   -0.27509E-02
   153    0.26616E+00    0.63039E-04   -0.27491E-02
   154    0.26808E+00    0.62640E-04   -0.27458E-02
   155    0.26999E+00    0.62217E-04   -0.27409E-02
   156    0.27188E+00    0.61770E-04   -0.27346E-02
   157    0.27375E+00    0.61302E-04   -0.27267E-02
   158    0.27561E+00    0.60812E-04   -0.27173E-02
   159    0.27746E+00    0.60302E-04   -0.27064E-02
   160    0.27929E+00    0.59773E-04   -0.26939E-02
   161    0.28110E+00    0.59226E-04   -0.26798E-02
   162    0.28289E+00    0.58662E-04   -0.26642E-02
   163    0.28467E+00    0.58083E-04   -0.26470E-02
   164    0.28642E+00    0.57488E-04   -0.26283E-02
   165    0.28816E+00    0.56880E-04   -0.26079E-02
   166    0.28988E+00    0.56259E-04   -0.25860E-02
   167    0.29157E+00    0.55626E-04   -0.25624E-02
   168    0.29325E+00    0.54983E-04   -0.25372E-02
   169    0.29490E+00    0.54330E-04   -0.25104E-02
   170    0.29653E+00    0.53669E-04   -0.24820E-02
   171    0.29813E+00    0.53000E-04   -0.24519E-02
   172    0.29972E+00    0.52324E-04   -0.24202E-02
   173    0.30127E+00    0.51643E-04   -0.23868E-02
   174    0.30281E+00    0.50958E-04   -0.23518E-02
   175    0.30431E+00    0.50270E-04   -0.23151E-02
   176    0.30579E+00    0.49579E-04   -0.22767E-02
   177    0.30725E+00    0.48888E-04   -0.22366E-02
   178    0.30867E+00    0.48199E-04   -0.21949E-02
   179    0.31007E+00    0.47514E-04   -0.21515E-02
   180    0.31144E+00    0.46836E-04   -0.21064E-02
   181    0.31278E+00    0.46165E-04   -0.20598E-02
   182    0.31409E+00    0.45506E-04   -0.20115E-02
   183    0.31537E+00    0.44858E-04   -0.19616E-02
   184    0.31662E+00    0.44226E-04   -0.19102E-02
   185    0.31785E+00    0.43610E-04   -0.18571E-02
   186    0.31903E+00    0.43013E-04   -0.18025E-02
   187    0.32019E+00    0.42437E-04   -0.17463E-02
   188    0.32132E+00    0.41885E-04   -0.16885E-02
   189    0.32241E+00    0.41357E-04   -0.16292E-02
   190    0.32347E+00    0.40858E-04   -0.15684E-02
   191    0.32449E+00    0.40387E-04   -0.15061E-02
   192    0.32548E+00    0.39948E-04   -0.14423E-02
   193    0.32644E+00    0.39544E-04   -0.13769E-02
   194    0.32736E+00    0.39175E-04   -0.13101E-02
   195    0.32824E+00    0.38844E-04   -0.12418E-02
   196    0.32909E+00    0.38553E-04   -0.11721E-02
   197    0.32990E+00    0.38304E-04   -0.11009E-02
   198    0.33068E+00    0.38100E-04   -0.10282E-02
   199    0.33141E+00    0.37942E-04   -0.95418E-03
   200    0.33211E+00    0.37833E-04   -0.87869E-03
   201    0.33277E+00    0.37775E-04   -0.80181E-03
   202    0.33339E+00    0.37769E-04   -0.72355E-03
   203    0.33397E+00    0.37818E-04   -0.64398E-03
   204    0.33451E+00    0.37923E-04   -0.56312E-03
   205    0.33502E+00    0.38085E-04   -0.48103E-03
   206    0.33549E+00    0.38308E-04   -0.39773E-03
   207    0.33591E+00    0.38592E-04   -0.31328E-03
   208    0.33630E+00    0.38940E-04   -0.22771E-03
   209    0.33666E+00    0.39353E-04   -0.14107E-03
   210    0.33697E+00    0.39833E-04   -0.53398E-04
   211    0.33724E+00    0.40381E-04    0.35265E-04
   212    0.33748E+00    0.41001E-04    0.12488E-03
   213    0.33768E+00    0.41692E-04    0.21540E-03
   214    0.33785E+00    0.42459E-04    0.30678E-03
   215    0.33797E+00    0.43301E-04    0.39899E-03
   216    0.33806E+00    0.44221E-04    0.49199E-03
   217    0.33811E+00    0.45221E-04    0.58572E-03
   218    0.33812E+00    0.46302E-04    0.68015E-03
   219    0.33810E+00    0.47467E-04    0.77525E-03
   220    0.33804E+00    0.48716E-04    0.87095E-03
   221    0.33794E+00    0.50053E-04    0.96724E-03
   222    0.33780E+00    0.51479E-04    0.10641E-02
   223    0.33763E+00    0.52995E-04    0.11614E-02
   224    0.33742E+00    0.54603E-04    0.12591E-02
